\bbath\s+and\s+north\s+east\s+somerset\b	gb-bas
\bdungannon\s+and\s+south\s+tyrone\b	gb-dgn
\bcheshire\s+west\s+and\s+chester\b	gb-chw
\bnewry\s+and\s+mourne\s+district\b	gb-nym
\beast\s+riding\s+of\s+yorkshire\b	gb-ery
\bmetropolitan\s+borough\s+of\b	
\bnorth\s+east\s+lincolnshire\b	gb-nel
\bhammersmith\s+and\s+fulham\b	gb-hmf
\bkensington\s+and\s+chelsea\b	gb-kec
\bwindsor\s+and\s+maidenhead\b	gb-wnm
\bblackburn\s+with\s+darwen\b	gb-bbd
\bdumfries\s+and\s+galloway\b	gb-dgy
\bsouth\s+gloucestershire\b	gb-sgc
\bthe\s+vale\s+of\s+glamorgan\b	gb-vgl
\bbarking\s+and\s+dagenham\b	gb-bdg
\bcentral\s+bedfordshire\b	gb-cbf
\bkingston\s+upon\s+thames\b	gb-ktt
\bredcar\s+and\s+cleveland\b	gb-rcc
\brhondda\,\s+cynon\,\s+taff\b	gb-rct
\brichmond\s+upon\s+thames\b	gb-ric
\bthe\s+scottish\s+borders\b	gb-scb
\beast\s+dunbartonshire\b	gb-edu
\bnewcastle\s+upon\s+tyne\b	gb-net
\bwest\s+dunbartonshire\b	gb-wdu
\bkingston\s+upon\s+hull\b	gb-khl
\bliverpool\s+district\b	gb-liv
\bnorth\s+lincolnshire\b	gb-nln
\btelford\s+and\s+wrekin\b	gb-tfw
\bbrighton\s+and\s+hove\b	gb-bnh
\bcity\s+of\s+edinburgh\b	gb-edh
\beast\s+renfrewshire\b	gb-erw
\bkirklees\s+district\b	gb-kir
\blondon\s+borough\s+of\b	
\bneath\s+port\s+talbot\b	gb-ntl
\bnorth\s+lanarkshire\b	gb-nlk
\bperth\s+and\s+kinross\b	gb-pkn
\bsouth\s+lanarkshire\b	gb-slk
\bbracknell\s+forest\b	gb-brc
\bclackmannanshire\b	gb-clk
\bisle\s+of\s+anglesey\b	gb-agy
\bnorthamptonshire\b	gb-nth
\bnorthern\s+ireland\b	n.i.
\bshetland\s+islands\b	gb-zet
\bstockton\-on\-tees\b	gb-stt
\bargyll\s+and\s+bute\b	gb-agb
\bbuckinghamshire\b	gb-bkm
\bcarmarthenshire\b	gb-cmn
\bcity\s+of\s+bristol\b	gb-bst
\bgloucestershire\b	gb-gls
\bnorth\s+yorkshire\b	gb-nyk
\bnottinghamshire\b	gb-ntt
\bsefton\s+district\b	gb-sft
\bsouthend\-on\-sea\b	gb-sos
\bcambridgeshire\b	gb-cam
\bcity\s+of\s+london\b	gb-lnd
\bleeds\s+district\b	gb-lds
\bleicestershire\b	gb-lec
\bmerthyr\s+tydfil\b	gb-mty
\bnorth\s+ayrshire\b	gb-nay
\bnorth\s+somerset\b	gb-nsm
\bnorth\s+tyneside\b	gb-nty
\bnorthumberland\b	gb-nbl
\borkney\s+islands\b	gb-ork
\bsouth\s+ayrshire\b	gb-say
\bsouth\s+tyneside\b	gb-sty
\bstoke\-on\-trent\b	gb-ste
\bwaltham\s+forest\b	gb-wft
\bwest\s+berkshire\b	gb-wbk
\bworcestershire\b	gb-wor
\baberdeen\s+city\b	gb-abe
\baberdeenshire\b	gb-abd
\bblaenau\s+gwent\b	gb-bgw
\bcarrickfergus\b	gb-ckf
\bcheshire\s+east\b	gb-che
\bcounty\s+durham\b	gb-dur
\beast\s+ayrshire\b	gb-eay
\bherefordshire\b	gb-hef
\bhertfordshire\b	gb-hrt
\bisle\s+of\s+wight\b	gb-iow
\bmiddlesbrough\b	gb-mdb
\bmilton\s+keynes\b	gb-mik
\bmonmouthshire\b	gb-mon
\bpembrokeshire\b	gb-pem
\bstaffordshire\b	gb-sts
\btower\s+hamlets\b	gb-twh
\bwolverhampton\b	gb-wlv
\bdenbighshire\b	gb-den
\beast\s+lothian\b	gb-eln
\bfulmodestone\b	fulmodeston
\bglasgow\s+city\b	gb-glg
\blincolnshire\b	gb-lin
\bnewtownabbey\b	gb-nta
\bpeterborough\b	gb-pte
\brenfrewshire\b	gb-rfw
\bwarwickshire\b	gb-war
\bwest\s+lothian\b	gb-wln
\bbournemouth\b	gb-bmh
\bcastlereagh\b	gb-csr
\bdundee\s+city\b	gb-dnd
