\banatoliki\s+makedonia\s+kai\s+thraki\b	a
\baitolia\s+kai\s+akarnania\b	01
\bkentriki\s+makedonia\b	b
\bdytiki\s+makedonia\b	c
\baitoloakarnania\b	01
\bdytiki\s+ellada\b	g
\bsterea\s+ellada\b	h
\bvoreio\s+aigaio\b	k
\bmetamorfossi\b	metamorfosi
\bnotio\s+aigaio\b	l
\bpeloponnisos\b	j
\bthessaloniki\b	54
\bdodekanisos\b	81
\bionia\s+nisia\b	f
\bkaissariani\b	kesariani
\banatolikos\b	e
\bchalkidiki\b	64
\bkefallonia\b	23
\bperifereia\b	periphery
\bthesprotia\b	32
\bagio\s+oros\b	69
\bcholargos\b	holargos
\bevrytania\b	05
\bfthiotida\b	06
\bkorinthia\b	15
\bnomarchia\b	nomo
\bthessalia\b	e
\bzakynthos\b	21
\bargolida\b	11
\bchaidari\b	haidari
\bchalkida\b	halkida
\bioannina\b	33
\birakleio\b	91
\bkarditsa\b	41
\bkastoria\b	56
\bkifissia\b	kifisia
\bkyklades\b	82
\bmagnisia\b	43
\bmaroussi\b	marousi
\bmessinia\b	17
\brethymni\b	93
\brethymno\b	93
\banatoli\b	e
\barkadia\b	12
\bdytikos\b	w
\bflorina\b	63
\bgrevena\b	51
\bimathia\b	53
\bipeiros\b	d
\bkerkyra\b	22
\blakonia\b	16
\blasithi\b	92
\blefkada\b	24
\bpapagou\b	papagos
\bpiraeus\b	pireas
\bpreveza\b	34
\btrikala\b	44
\bvoiotia\b	03
\bvoreioy\b	n
\bachaia\b	13
\battiki\b	i
\bchania\b	94
\bevvoia\b	04
\bfokida\b	07
\bkavala\b	55
\bkilkis\b	57
\bkozani\b	58
\blarisa\b	42
\blesvos\b	83
\bnotioy\b	s
\bpieria\b	61
\brodopi\b	73
\bserres\b	62
\bvoreio\b	n
\bxanthi\b	72
\bchios\b	85
\bdrama\b	52
\bevros\b	71
\bhania\b	94
\bileia\b	14
\bkriti\b	m
\bnorth\b	n
\bnotio\b	s
\bpella\b	59
\bsamos\b	84
\bsouth\b	s
\barta\b	31
\bdysi\b	w
\beast\b	e
\bhios\b	85
\bkato\b	s
\bwest\b	w
\ba\s+1\b	i
\bano\b	n
