\bboulevard\b	blvd
\bhong\s+kong\b	hk
\bcrescent\b	cres
\bdistrict\b	
\bhongkong\b	hk
\bjunction\b	jct
\bcentral\b	c
\bhighway\b	hwy
\bparkway\b	pkwy
\bseventh\b	7
\bavenue\b	ave
\bbypass\b	pass
\bcentre\b	center
\bcommon\b	comm
\beighth\b	8
\bfourth\b	4
\bparade\b	pde
\bsecond\b	2
\bstreet\b	st
\bcourt\b	ct
\bdrive\b	dr
\beight\b	8
\bfifth\b	5
\bfirst\b	1
\bmount\b	mt
\bninth\b	9
\bnorth\b	n
\bplace\b	pl
\bpoint\b	pt
\bsaint\b	st
\bseven\b	7
\bsixth\b	6
\bsouth\b	s
\btenth\b	10
\bthird\b	3
\bthree\b	3
\beast\b	e
\bfive\b	5
\bfour\b	4
\blane\b	ln
\bnine\b	9
\broad\b	rd
\bwest\b	w
\bh\s+k\b	hk
\bnth\b	n
\bone\b	1
\bsix\b	6
\bsth\b	s
\bten\b	10
\btwo\b	2
