\broscommon\b	rn
\btipperary\b	ta
\bwaterford\b	wd
\bwestmeath\b	wh
\bkilkenny\b	kk
\blimerick\b	lk
\blongford\b	ld
\bmonaghan\b	mn
\bdonegal\b	dl
\bireland\b	ie
\bkildare\b	ke
\bleitrim\b	lm
\bterrace\b	tce
\bwexford\b	wx
\bwicklow\b	ww
\bavenue\b	ave
\bcarlow\b	cw
\bcenter\b	cntr
\bcounty\b	ck
\bdublin\b	d
\bgalway\b	g
\blaoise\b	ls
\boffaly\b	oy
\bstreet\b	st
\bcavan\b	cn
\bclare\b	ce
\bcourt\b	ct
\bdrive\b	dr
\bkerry\b	ky
\blaois\b	ls
\blouth\b	lh
\bmeath\b	mh
\bnorth\b	n
\bplace\b	pl
\bsaint\b	st
\bsligo\b	so
\bsouth\b	s
\bcork\b	ck
\beast\b	e
\blane\b	ln
\bmayo\b	mo
\broad\b	rd
\bwalk\b	wk
\bwest\b	w
\byard\b	yd
\bway\b	wy
\bco\b	ck
\bdn\b	d
\bgy\b	g
\bty\b	ta
