\bwesterhaar\s+vriezenveensewijk\b	westerhaar-vriezenv wijk
\bnoord\s+brabant\b	nb
\bnoord\s+holland\b	nh
\bnoord\-brabant\b	nb
\bnoord\-holland\b	nh
\balphen\s+chaam\b	ac
\bburgemeester\b	burg
\bnoordbrabant\b	nb
\bs\s+gravenhage\b	sgravenhage
\bzuid\s+holland\b	zh
\bzuid\-holland\b	zh
\bmonseigneur\b	mgr
\bnetherlands\b	nl
\bnordholland\b	nh
\bzuidholland\b	zh
\bgelderland\b	ge
\bnoordzijde\b	nz
\boverijssel\b	ov
\bflevoland\b	fl
\bfriesland\b	fr
\bgroningen\b	gn
\bnederland\b	nl
\boostzijde\b	oz
\bprofessor\b	prof
\brotterdam\b	rt
\bwestzijde\b	wz
\bzuidzijde\b	zz
\baan\s+den\b	ad
\bachtste\b	8
\bdominee\b	ds
\bdrenthe\b	dr
\blimburg\b	l
\bmeester\b	mr
\bnegende\b	9
\butrecht\b	u
\bzeeland\b	z
\bzevende\b	7
\baan\s+de\b	ad
\bdoctor\b	dr
\beerste\b	1
\bstraat\b	str
\btweede\b	2
\bvierde\b	4
\bvijfde\b	5
\bderde\b	3
\bnl\-dr\b	dr
\bnl\-fl\b	fl
\bnl\-fr\b	fr
\bnl\-ge\b	ge
\bnl\-gr\b	gn
\bnl\-li\b	l
\bnl\-nb\b	nb
\bnl\-nh\b	nh
\bnl\-ov\b	ov
\bnl\-ut\b	u
\bnl\-ze\b	z
\bnl\-zh\b	zh
\bzesde\b	6
\bsint\b	st
\ba\s+d\b	ad
\bgld\b	ge
\bn\s+z\b	nz
\bo\s+z\b	oz
\bw\s+z\b	wz
\bz\s+z\b	zz
\bzld\b	z
\bgl\b	ge
\bgr\b	gn
\blb\b	l
\bli\b	l
\but\b	u
\bze\b	z
\bzl\b	z
\b\#\b	
