\bfelipe\s+santiago\s+salaverry\b	felipe salaverry
\bmariano\s+melgar\s+valdiviezo\b	mariano melgar
\bcarlos\s+augusto\s+salaverry\b	carlos salaverry
\bjorge\s+chavez\s+dartnell\b	jorge chavez
\bcircunvalacion\b	ring road
\blocal\s+street\b	jr
\bvia\s+express\b	expressway
\bboard\s+walk\b	ma
\bautopista\b	au
\bcarretera\b	ctra
\bpromenade\b	ma
\bavenida\b	av
\bfreeway\b	au
\bhighway\b	ctra
\bmalecon\b	ma
\bavenue\b	av
\bpasaje\b	pje
\bstreet\b	ca
\bcalle\b	ca
\bjiron\b	jr
\bnorte\b	n
\boeste\b	o
\beste\b	e
\bperu\b	pe
\bdel\b	
\blas\b	
\blos\b	
\bsur\b	s
\bway\b	pje
\bde\b	
\bel\b	
\ble\b	
