\batalíbio\s+taurino\s+rezende\b	atalibio t rezende
\btomaz\s+antonio\s+gonzaga\b	tomas antonio gonzaga
\bsao\s+vicente\s+de\s+paula\b	sao vicente paulo
\brio\s+grande\s+do\s+norte\b	rn
\bmartin\s+luther\s+king\b	mlk
\bmato\s+grosso\s+do\s+sul\b	ms
\bmoacir\s+jose\s+silva\b	moacir j silva
\brio\s+grande\s+do\s+sul\b	rs
\bdistrito\s+federal\b	df
\bfloriano\s+peixoto\b	floriano
\btenente\s+coronel\b	tte cel
\btenente_coronel\b	tte cel
\bespirito\s+santo\b	es
\bgetulio\s+vargas\b	vargas
\brio\s+de\s+janeiro\b	rj
\bsanta\s+catarina\b	sc
\bdesembargador\b	des
\bm\s+luther\s+king\b	mlk
\bmartin\s+l\s+king\b	mlk
\bnossa\s+senhora\b	ns
\bminas\s+gerais\b	mg
\boswaldo\s+cruz\b	osvaldo cruz
\bconselheiro\b	cons
\bmato\s+grosso\b	mt
\bcomandante\b	com
\bcomendador\b	com
\bengenheiro\b	eng
\bgovernador\b	gov
\bpernambuco\b	pe
\bpresidente\b	pres
\bprofessora\b	prfa
\bboulevard\b	bulevar
\bcassimiro\b	casemiro
\belizabeth\b	elizabete
\bnossa\s+sra\b	ns
\bprofessor\b	prof
\brepublica\b	rep
\bsao\s+paulo\b	sp
\btocantins\b	to
\bamazonas\b	am
\bbenjamin\b	beijamin
\bbulevard\b	bulevar
\bcasimiro\b	casemiro
\bdeputado\b	dep
\bm\s+l\s+king\b	mlk
\bmaranhao\b	ma
\bmarechal\b	mal
\bprefeito\b	pref
\bprincesa\b	prsa
\brondonia\b	ro
\bsargento\b	sct
\bservidao\b	serv
\btravessa\b	t
\bvereador\b	ver
\balagoas\b	al
\balameda\b	al
\bavenida\b	av
\bcapitao\b	cap
\bcoronel\b	cel
\bdoutora\b	dr
\bestrada\b	estr
\bjanerio\b	janeiro
\bparaiba\b	pb
\brodovia\b	rod
\broraima\b	rr
\bsenador\b	sen
\bsenhora\b	sra
\bsergipe\b	se
\btenente\b	ten
\bacesso\b	ac
\barthur\b	artur
\bbrasil\b	b
\bbrazil\b	b
\bdoutor\b	dr
\bizabel\b	isabel
\bjardim\b	jd
\bjunior\b	jr
\bmanuel\b	manoel
\bparada\b	pda
\bparana\b	pr
\bparque\b	pq
\bpastor\b	pst
\bprincs\b	prsa
\bquadra\b	qd
\bsenhor\b	sr
\bamapa\b	ap
\bbahia\b	ba
\bbarao\b	b
\bcauby\b	caubi
\bceara\b	ce
\bclube\b	club
\bcomte\b	com
\bconde\b	cde
\bduque\b	dq
\beliza\b	elisa
\bgoias\b	go
\blargo\b	l
\bmajor\b	maj
\bnorte\b	n
\boeste\b	w
\bpadre\b	pe
\bpiaui\b	pi
\bpraca\b	pr
\bpraia\b	pr
\bsanta\b	sta
\bsanto\b	sto
\btrevo\b	trv
\btunel\b	tn
\bviela\b	ve
\bacre\b	ac
\bbaia\b	ba
\bbeco\b	bc
\bcapt\b	cap
\bcmte\b	com
\beste\b	e
\blote\b	lt
\bluiz\b	luis
\bpara\b	
\bsala\b	s
\bdas\b	
\bdos\b	
\bmar\b	mal
\bprc\b	pr
\bprq\b	pq
\brua\b	r
\bsan\b	s
\bsgt\b	sct
\bsul\b	s
\bbr\b	b
\bda\b	
\bde\b	
\bdo\b	
\bel\b	
\blr\b	l
\bsl\b	s
\btv\b	t
\bvl\b	ve
