\bavenida\s+carrera\b	ak
\bavenida\s+calle\b	ac
\btransversal\b	tv
\bcarreterad\b	k
\bexpressway\b	k
\bautopista\b	k
\bnortheast\b	noreste
\bnorthwest\b	noroeste
\boccidente\b	o
\bsoutheast\b	sureste
\bsouthwest\b	suroeste
\bcircular\b	cq
\bcolombia\b	co
\bcolumbia\b	co
\bde\s+desde\b	
\bdiagonal\b	dg
\bmediante\b	
\bmotorway\b	autovia
\bavenida\b	av
\bcarrera\b	k
\bdurante\b	
\bhighway\b	k
\bmanzana\b	mz
\boriente\b	e
\bprivada\b	priv
\bprivate\b	priv
\bsendero\b	path
\bavenue\b	av
\bcamino\b	path
\bcarril\b	lane
\bcontra\b	
\bstreet\b	cl
\balley\b	lane
\bblock\b	mz
\bcalle\b	cl
\bentre\b	
\bhacia\b	
\bhasta\b	
\blinea\b	lane
\bnorte\b	n
\bnorth\b	n
\boeste\b	o
\bsegun\b	
\bsobre\b	
\bsouth\b	s
\bante\b	
\bauto\b	k
\bbajo\b	
\bcabe\b	
\beast\b	e
\beste\b	e
\bpara\b	
\broad\b	k
\btras\b	
\bunas\b	
\bunos\b	
\bwest\b	o
\bave\b	av
\bcon\b	
\bcra\b	k
\bkra\b	k
\blas\b	
\blos\b	
\bnte\b	n
\bpor\b	
\bsin\b	
\bsur\b	s
\buna\b	
\bvia\b	
\bway\b	
\bau\b	k
\bcr\b	k
\bel\b	
\ben\b	
\bkr\b	k
\bla\b	
\bun\b	
