\bunidad\s+residencial\b	ul
\bcentro\s+comercial\b	ce
\bavenida\s+carrera\b	ak
\badministracion\b	ad
\badministration\b	ad
\bavenida\s+calle\b	ac
\bsupermanzana\b	sm
\burbanizacion\b	ur
\banillo\s+vial\b	avial
\bapartamento\b	ap
\bcircunvalar\b	cv
\bparqueadero\b	pq
\btransversal\b	tv
\baeropuerto\b	ae
\bagrupacion\b	ag
\bcarreterad\b	k
\bexpressway\b	k
\bapartment\b	ap
\bautopista\b	k
\bcarretera\b	ct
\bciudadela\b	cd
\bnortheast\b	noreste
\bnorthwest\b	noroeste
\boccidente\b	o
\bsoutheast\b	sureste
\bsouthwest\b	suroeste
\bboulevar\b	bl
\bbulevard\b	bl
\bcircular\b	cq
\bcolombia\b	co
\bcolumbia\b	co
\bconjunto\b	co
\bdiagonal\b	dg
\bedificio\b	ed
\bestacion\b	es
\bhacienda\b	hda
\bmotorway\b	autovia
\bairport\b	ae
\baltillo\b	al
\bavenida\b	av
\bcarrera\b	k
\bentrada\b	en
\besquina\b	eq
\bhighway\b	k
\bmanzana\b	bq
\boficina\b	of
\boriente\b	e
\bprivada\b	priv
\bprivate\b	priv
\bsendero\b	path
\bterraza\b	tz
\bavenue\b	av
\bbarrio\b	br
\bbloque\b	bq
\bbypass\b	avial
\bcamino\b	path
\bcarril\b	lane
\bgaraje\b	gj
\bparque\b	pq
\bpasaje\b	pj
\bsector\b	sc
\bstreet\b	cl
\bunidad\b	un
\bvereda\b	vda
\balley\b	lane
\bblock\b	bq
\bcalle\b	cl
\betapa\b	eq
\bfinca\b	fi
\bgroup\b	ag
\blinea\b	lane
\bnorte\b	n
\bnorth\b	n
\boeste\b	o
\bpaseo\b	ps
\bsouth\b	s
\bsuite\b	st
\btorre\b	to
\btrans\b	tv
\bauto\b	k
\bclle\b	cl
\beast\b	e
\beste\b	e
\blote\b	lt
\broad\b	k
\bwest\b	o
\bzona\b	zn
\baer\b	ae
\bave\b	av
\bcir\b	cq
\bcll\b	cl
\bcra\b	k
\bcrt\b	ct
\bfca\b	fi
\bkra\b	k
\blot\b	lt
\bnte\b	n
\bsur\b	s
\bvia\b	vi
\bway\b	vi
\bau\b	k
\bcr\b	k
\bkr\b	k
\bmz\b	bq
\btr\b	to
