\bcircunvalacion\b	contournement
\bmunicipalidad\b	munic
\basentamiento\b	asent
\bdepartamento\b	dpto
\bmunicipalite\b	munic
\bsupermercado\b	sup
\burbanizacion\b	urb
\bapartamento\b	apart
\bappartement\b	apart
\bboulangerie\b	pan
\bdepartement\b	dpto
\bferrocarril\b	fc
\bsupermarche\b	sup
\btransversal\b	transv
\baeropuerto\b	aer
\bchemin\s+fer\b	fc
\bdelegacion\b	deleg
\bdelegation\b	deleg
\bautopista\b	au
\bautoroute\b	au
\bboulevard\b	blvd
\bcarretera\b	crt
\bextension\b	ext
\bpanaderia\b	pan
\baeroport\b	aer
\bcentrale\b	ctrl
\bedificio\b	edif
\bhacienda\b	hda
\bimmeuble\b	edif
\bponiente\b	pte
\bquartier\b	bo
\bsuroeste\b	so
\balameda\b	alam
\bavenida\b	av
\bcentral\b	ctrl
\bcolegio\b	coleg
\bcolonia\b	col
\bcolonie\b	asent
\bdomaine\b	fca
\bentrada\b	en
\biglesia\b	igle
\boriente\b	e
\bsureste\b	se
\bavenue\b	av
\bbanque\b	bco
\bbarrio\b	bo
\bcuesta\b	cta
\beglise\b	igle
\bentrée\b	en
\bmaison\b	c
\bnumero\b	#
\bbanco\b	bco
\bcalle\b	c
\becole\b	coleg
\bferme\b	hda
\bfinca\b	fca
\bnorte\b	#
\boeste\b	pte
\bpente\b	cta
\bplaza\b	pl
\bpoint\b	pto
\bpunte\b	pte
\bpunto\b	pto
\bavda\b	av
\bblvr\b	blvd
\bcasa\b	c
\beste\b	e
\bmall\b	alam
\bpont\b	pte
\bquai\b	pl
\bnte\b	#
\bote\b	e
\brue\b	c
\bsud\b	s
\bsur\b	s
\bno\b	#
\bn\b	#
