\bdisciplined\s+services\s+quarters\b	dsq
\binternational\b	intl
\binverstment\b	inv
\bcommercial\b	comm
\bindustrial\b	ind
\bboulevard\b	blvd
\bhong\s+kong\b	hk
\bbuilding\b	bldg
\bcare\s+off\b	c/o
\bcrescent\b	cres
\bhongkong\b	hk
\bjunction\b	jct
\bcentral\b	c
\bfactory\b	fty
\bgardens\b	gdn
\bhighway\b	hwy
\blimited\b	ltd
\bparkway\b	pkwy
\bavenue\b	ave
\bbypass\b	pass
\bcenter\b	ctr
\bcentre\b	ctr
\bcomm'l\b	comm
\bcommon\b	comm
\bgarden\b	gdn
\bmarket\b	mkt
\bnumber\b	no
\bparade\b	pde
\bstreet\b	st
\bblock\b	blk
\bcourt\b	ct
\bdrive\b	dr
\bhouse\b	hse
\bind'l\b	ind
\binv't\b	inv
\bmount\b	mt
\bnorth\b	n
\bplace\b	pl
\bpoint\b	pt
\bsaint\b	st
\bsouth\b	s
\btower\b	twr
\beast\b	e
\bflat\b	flt
\bgdns\b	gdn
\blane\b	ln
\broad\b	rd
\broom\b	rm
\bwest\b	w
\bcrt\b	ct
\bh\s+k\b	hk
\bnth\b	n
\bsth\b	s
