\bagence\s+postale\s+nationale\b	apn
\bpoint\s+kilometrique\s+borne\b	pk
\bcare\s+of\s+resident\s+chez\b	c/o
\bquartier\s+fokontany\b	fkt
\brecette\s+principale\b	rp
\bzone\s+industrielle\b	zi
\bbureau\s+de\s+poste\b	bp
\broute\s+nationale\b	rn
\barrondissement\b	arr
\bcommune\s+rurale\b	cr
\blotissement\b	lot
\bboulevard\b	bd
\bbatiment\b	bat
\bimmeuble\b	im
\blogement\b	logt
\bparcelle\b	plle
\bavenue\b	av
\bnumber\b	n'
\bsainte\b	st
\bmount\b	mt
\bnorth\b	n
\bouest\b	o
\broute\b	rte
\bsaint\b	st
\bsouth\b	s
\beast\b	e
\bnord\b	n
\bwest\b	o
\bave\b	av
\bbld\b	bd
\best\b	e
\bimm\b	im
\bmte\b	mt
\brua\b	r
\brue\b	r
\bste\b	st
\bsud\b	s
\bn°\b	n'
\bw\b	o
