\bwesterhaar\s+vriezenveensewyk\b	westerhaar-vriezenv wyk
\bpieter\s+corneliszoon\s+hooft\b	p c hooft
\bjohan\s+fabricius\b	joh fabricius
\bgysbert\s+japicx\b	g japicx
\bgysbert\s+japiks\b	g japicx
\bpieter\s+c\s+hooft\b	p c hooft
\bgysbert\s+japix\b	g japicx
\bnoord\s+brabant\b	nb
\bnoord\s+holland\b	nh
\bnoord\-brabant\b	nb
\bnoord\-holland\b	nh
\balphen\s+chaam\b	ac
\bburgemeester\b	burg
\bnoordbrabant\b	nb
\bs\s+gravenhage\b	sgravenhage
\bzuid\s+holland\b	zh
\bzuid\-holland\b	zh
\bmonseigneur\b	mgr
\bnetherlands\b	nl
\bnordholland\b	nh
\bp\s+czn\s+hooft\b	p c hooft
\bzuidholland\b	zh
\bgelderland\b	ge
\bsecretaris\b	secr
\bflevoland\b	fl
\bfriesland\b	fr
\bgroningen\b	gn
\bnederland\b	nl
\bnoordzyde\b	nz
\boveryssel\b	ov
\bprofessor\b	prof
\brotterdam\b	rt
\bg\s+japiks\b	g japicx
\boostzyde\b	oz
\bwestzyde\b	wz
\bzuidzyde\b	zz
\baan\s+den\b	ad
\bdominee\b	ds
\bdrenthe\b	dr
\blimburg\b	l
\bmeester\b	mr
\bpastoor\b	past
\butrecht\b	u
\bzeeland\b	z
\baan\s+de\b	ad
\bdoctor\b	dr
\bstraat\b	str
\bnl\-dr\b	dr
\bnl\-fl\b	fl
\bnl\-fr\b	fr
\bnl\-ge\b	ge
\bnl\-gr\b	gn
\bnl\-li\b	l
\bnl\-nb\b	nb
\bnl\-nh\b	nh
\bnl\-ov\b	ov
\bnl\-ut\b	u
\bnl\-ze\b	z
\bnl\-zh\b	zh
\bsint\b	st
\ba\s+d\b	ad
\bgld\b	ge
\bn\s+z\b	nz
\bo\s+z\b	oz
\bw\s+z\b	wz
\bz\s+z\b	zz
\bzld\b	z
\bgl\b	ge
\bgr\b	gn
\blb\b	l
\bli\b	l
\but\b	u
\bze\b	z
\bzl\b	z
\b\#\b	
