\badministration\b	admin
\bmanufacturing\b	mfg
\bstate\s+highway\b	sh
\bheadquarters\b	hq
\bincorporated\b	inc
\bmanufacturer\b	mfr
\bcorporation\b	corp
\bocean\s+beach\b	oceanbeach
\bpartnership\b	prtnrshp
\bproprietary\b	pty
\bdepartment\b	dept
\benterprise\b	entprs
\bgovernment\b	govt
\blaboratory\b	lab
\blong\s+beach\b	longbeach
\bmanagement\b	mgmt
\bapartment\b	apt
\bboulevard\b	blvd
\besplanade\b	esp
\bextension\b	ext
\bcauseway\b	cswy
\bcrescent\b	cres
\bdivision\b	div
\bjunction\b	jct
\bmountain\b	mtn
\bnational\b	natl
\bcare\s+of\b	c/-
\bcentral\b	ctrl
\bcompany\b	co
\bcorners\b	cors
\bestates\b	est
\bgardens\b	gdns
\bharbour\b	hbr
\bheights\b	hts
\bhighway\b	hwy
\blimited\b	ltd
\bmeadows\b	mdws
\bmission\b	msn
\borchard\b	orch
\bparkway\b	pkwy
\bsprings\b	spgs
\bterrace\b	tce
\bviaduct\b	via
\bvillage\b	vlg
\bzealand\b	nz
\bagency\b	agcy
\barcade\b	arc
\bavenue\b	ave
\bbottom\b	btm
\bbranch\b	br
\bbridge\b	brg
\bbypass\b	byp
\bcentre\b	ctr
\bcircle\b	cir
\bcliffs\b	clfs
\bcommon\b	comm
\bcorner\b	cor
\bcourse\b	crse
\bdivide\b	dv
\bfields\b	flds
\bforest\b	frst
\bisland\b	is
\boffice\b	ofc
\bparade\b	pde
\brapids\b	rpds
\bspring\b	spg
\bsquare\b	sq
\bstream\b	strm
\bstreet\b	st
\bsummit\b	smt
\bsystem\b	sys
\btunnel\b	tunl
\bvalley\b	vly
\balley\b	aly
\bannex\b	anx
\bbeach\b	bch
\bbluff\b	blf
\bbrnch\b	br
\bbrook\b	brk
\bclose\b	cl
\bcourt\b	ct
\bcreek\b	crk
\bdrive\b	dr
\bfalls\b	fls
\bferry\b	fry
\bfield\b	fld
\bfloor\b	fl
\bforks\b	frks
\bgreen\b	grn
\bgroup\b	gp
\bgrove\b	gr
\bhaven\b	hvn
\bhills\b	hls
\bkiosk\b	ksk
\blevel\b	l
\blodge\b	ldg
\blower\b	lwr
\bmills\b	mls
\bmount\b	mt
\bnorth\b	n
\bplace\b	pl
\bpoint\b	pt
\briver\b	riv
\broute\b	rt
\bsaint\b	st
\bshore\b	shr
\bsouth\b	s
\bsuite\b	ste
\bupper\b	upr
\bvaley\b	vly
\bvista\b	vis
\bbend\b	bnd
\bcape\b	cpe
\bcove\b	cv
\beast\b	e
\bford\b	frd
\bglen\b	gln
\bhill\b	hl
\blane\b	ln
\bmill\b	ml
\bn\.z\.\b	nz
\bquay\b	qy
\broad\b	rd
\broom\b	rm
\bshop\b	shp
\bview\b	vw
\bwest\b	w
\bc/o\b	c/-
\bcrt\b	ct
\bgrv\b	gr
\bmt\.\b	mt
\bn\.z\b	nz
\bnth\b	n
\bpt\.\b	pt
\bst\.\b	st
\bsth\b	s
\bter\b	tce
\be\.\b	e
\bn\.\b	n
\bs\.\b	s
\bw\.\b	w
