\bавтомагистрал\b	магистрал
\bвосемнадцатый\b	18
\bдевятнадцатый\b	19
\bчетырнадцатый\b	14
\bвосемдесятый\b	8
\bодиннадцатый\b	11
\bчетырехсотый\b	4
\bшестнадцатый\b	16
\bвосемнадцат\b	18
\bдвенадцатый\b	12
\bдевятисотый\b	8
\bдевятнадцат\b	19
\bпятнадцатый\b	15
\bсемнадцатый\b	17
\bтринадцатый\b	13
\bчетырнадцат\b	14
\bшестдесятый\b	6
\bавтодорога\b	а/д
\bвосемдесят\b	8
\bвосмисотый\b	8
\bнабережная\b	наб
\bодиннадцат\b	11
\bпятдесятый\b	5
\bсемдесятый\b	7
\bсооружение\b	c
\bтерритория\b	тер
\bшестисотый\b	6
\bшестнадцат\b	16
\bдвадцатый\b	2
\bдвенадцат\b	12
\bдвухсотый\b	2
\bпятисотый\b	5
\bпятнадцат\b	15
\bсемисотый\b	7
\bсемнадцат\b	17
\bсороковой\b	4
\bтрехсотый\b	3
\bтридцатый\b	3
\bтринадцат\b	13
\bчетвертый\b	4
\bчетыреста\b	4
\bшестдесят\b	6
\bвосемсот\b	8
\bдевятсот\b	8
\bкилометр\b	км
\bпереулок\b	пер
\bпроспект\b	пр
\bпятдесят\b	5
\bсемдесят\b	7
\bстроение\b	c
\bдвадцат\b	2
\bдевятый\b	8
\bдесятый\b	10
\bквартал\b	кв-л
\bтридцат\b	3
\bшестсот\b	6
\brussia\b	ru
\bбулвар\b	б-р
\bвосмой\b	8
\bвторой\b	2
\bдвести\b	2
\bдорога\b	дор
\bкорпус\b	k
\bпервый\b	1
\bплощад\b	пл
\bпроезд\b	пр-д
\bпятсот\b	5
\bроссия\b	ru
\bседмой\b	7
\bсемсот\b	7
\bтретий\b	3
\bтриста\b	3
\bчетыре\b	4
\bшестой\b	6
\bвосем\b	8
\bдевят\b	8
\bдесят\b	10
\bлиния\b	лин
\bпр\-кт\b	пр
\bпросп\b	пр
\bпятый\b	5
\bсорок\b	4
\bсотый\b	1
\bспуск\b	сезд
\bтупик\b	туп
\bулица\b	ул
\bшоссе\b	ш
\bkorp\b	k
\bбулв\b	б-р
\bкорп\b	k
\bодин\b	1
\bпрот\b	пр
\bшест\b	6
\bбул\b	б-р
\bдва\b	2
\bдом\b	д
\bпят\b	5
\bсем\b	7
\bсто\b	1
\bстр\b	c
\bтри\b	3
\bк\b	k
\bс\b	c
