\badministration\b	adm
\bmanufacturing\b	mfg
\bstate\s+highway\b	sh
\bheadquarters\b	hq
\bincorporated\b	inc
\bmanufacturer\b	mfr
\bcorporation\b	corp
\bpartnership\b	prtnrshp
\bproprietary\b	pty
\bdepartment\b	dept
\benterprise\b	ent
\bgovertment\b	govt
\blaboratory\b	lab
\bmanagement\b	mgt
\baccessway\b	accswy
\banchorage\b	ancg
\bboulevard\b	blvd
\bdeviation\b	dvn
\besplanade\b	esp
\bpromenade\b	prom
\bapproach\b	app
\bcrescent\b	cres
\bdevision\b	div
\bentrance\b	ent
\bjunction\b	jct
\bnational\b	natl
\bquadrant\b	qdrt
\bstraight\b	stgt
\bcare\s+of\b	c/-
\bcompany\b	co
\bfairway\b	fawy
\bgardens\b	gdn
\bheights\b	hts
\bhighway\b	hwy
\blanding\b	lndg
\blimited\b	ltd
\blookout\b	lkt
\bparkway\b	pkwy
\bpassage\b	psge
\breserve\b	res
\bretreat\b	rtr
\broadway\b	rdwy
\bterrace\b	tce
\btramway\b	tmwy
\bvillage\b	vlg
\baccess\b	accs
\bagency\b	agcy
\barcade\b	arc
\bavenue\b	ave
\bbranch\b	br
\bbridge\b	brg
\bbypass\b	byp
\bcentre\b	ctr
\bcircle\b	cir
\bcircus\b	crcs
\bcommon\b	cmn
\bcourts\b	crt
\bestate\b	est
\bgarden\b	gdn
\bisland\b	is
\bladder\b	ladr
\bleader\b	ledr
\bnumber\b	n
\boffice\b	ofc
\bparade\b	pde
\bsquare\b	sq
\bstrand\b	strd
\bstreet\b	st
\bsystem\b	sys
\btowers\b	twrs
\bvalley\b	vly
\bvillas\b	vlls
\balley\b	aly
\bbeach\b	bch
\bbrnch\b	br
\bchase\b	ch
\bclose\b	cl
\bcourt\b	crt
\bcreek\b	crk
\bdrive\b	dr
\bfarms\b	frms
\bflats\b	flt
\bfloor\b	fl
\bglade\b	gld
\bgreen\b	grn
\bgroup\b	grp
\bgrove\b	grv
\bgully\b	gly
\bhaven\b	hvn
\blevel\b	l
\bnorth\b	n
\bplace\b	pl
\bplot\.\b	p
\bpoint\b	pt
\broads\b	rd
\broute\b	rte
\bslope\b	slp
\bsouth\b	s
\bsteps\b	stps
\btrack\b	trk
\btrail\b	trl
\btrees\b	trs
\bvenus\b	vnus
\bviews\b	vw
\bvista\b	vis
\bwharf\b	whrf
\bbend\b	bnd
\bcove\b	cv
\bcrts\b	crt
\bdale\b	dle
\bdell\b	del
\beast\b	e
\bflat\b	flt
\bflts\b	flt
\bgate\b	gte
\bgdns\b	gdn
\bhill\b	hl
\blane\b	ln
\bpark\b	pk
\bpath\b	pth
\bplot\b	p
\bquay\b	qy
\broad\b	rd
\bview\b	vw
\bwalk\b	wlk
\bwest\b	w
\bc/o\b	c/-
\bflr\b	fl
\bno\.\b	n
\brds\b	rd
\bvws\b	vw
\bp\.\b	p
