\bconjunto\s+residencial\b	conj resd
\bparque\s+residencial\b	parq resd
\bcentro\s+comercial\b	cc
\bdistrito\s+capital\b	dc
\bapartado\s+postal\b	ap
\blocal\s+comercial\b	local c
\bcodigo\s+postal\b	cp
\bdepartamento\b	dpto
\bprolongacion\b	prol
\bruta\s+cartero\b	rc
\burbanizacion\b	urb
\bapartamento\b	apto
\bplanta\s+baja\b	pb
\btransversal\b	trav
\bzona\s+postal\b	zp
\bresidencia\b	res
\bseptiembre\b	sep
\bboulevard\b	blv
\bcarretera\b	ca
\bcon\s+calle\b	c/c
\bdiciembre\b	december
\bkilometro\b	km
\bmezzanina\b	mezz
\bnortheast\b	noreste
\bnorthwest\b	noroeste
\bnoviembre\b	nov
\boccidente\b	o
\bpenthouse\b	ph
\bseptember\b	sep
\bsoutheast\b	sureste
\bsouthwest\b	suroeste
\bvenezuela\b	ve
\bcallejon\b	cjn
\bdiagonal\b	diag
\bdivision\b	div
\bedificio\b	o
\bescalera\b	esc
\bfebruary\b	feb
\bnovember\b	nov
\bnovembre\b	nov
\bponiente\b	o
\bavenida\b	av
\besquina\b	esq
\bfebrero\b	feb
\bhighway\b	ca
\bjanuary\b	enero
\boctober\b	oct
\boctobre\b	oct
\boctubre\b	oct
\boriente\b	e
\btroncal\b	tcal
\baugust\b	agosto
\bavenue\b	av
\bcamino\b	road
\bnumero\b	n°
\bparque\b	parq
\bpasaje\b	psje
\bquinta\b	qta
\bstreet\b	c/
\bunidad\b	unid
\bvereda\b	vda
\bapril\b	abril
\bcalle\b	c/
\bdiag\.\b	diag
\bjulio\b	jul
\bjunio\b	jun
\bmarch\b	mar
\bmarzo\b	mar
\bnorte\b	n
\bnorth\b	n
\boeste\b	o
\bplaza\b	pza
\bsouth\b	s
\bave\.\b	av
\bclle\b	c/
\bcrrt\b	ca
\beast\b	e
\bedif\b	o
\beste\b	e
\bjuly\b	jul
\bjune\b	jun
\bmayo\b	may
\bpiso\b	p
\bwest\b	o
\bav\.\b	av
\bave\b	av
\bca\.\b	ca
\bcrr\b	ca
\bedf\b	o
\bnro\b	n°
\bnte\b	n
\bnum\b	n°
\bote\b	e
\bpte\b	o
\bsur\b	s
