Collection,Name,Member Attribute,Sub-member Attribute,Syntax,Reference
Document Description,document-metadata,,,1setOf octetString(MAX),[PWG5100.13]
Document Description,document-name,,,name(MAX),[PWG5100.5]
Document Description,impressions,,,integer(0:MAX),[PWG5100.5]
Document Description,impressions-col,,,collection,[APRIL2015F2F]
Document Description,impressions-col,blank,,integer(0:MAX),[APRIL2015F2F]
Document Description,impressions-col,blank-two-sided,,integer(0:MAX),[APRIL2015F2F]
Document Description,impressions-col,full-color,,integer(0:MAX),[APRIL2015F2F]
Document Description,impressions-col,full-color-two-sided,,integer(0:MAX),[APRIL2015F2F]
Document Description,impressions-col,highlight-color,,integer(0:MAX),[APRIL2015F2F]
Document Description,impressions-col,highlight-color-two-sided,,integer(0:MAX),[APRIL2015F2F]
Document Description,impressions-col,monochrome,,integer(0:MAX),[APRIL2015F2F]
Document Description,impressions-col,monochrome-two-sided,,integer(0:MAX),[APRIL2015F2F]
Document Description,k-octets,,,integer(0:MAX),[PWG5100.5]
Document Description,media-sheets,,,integer(0:MAX),[PWG5100.5]
Document Description,media-sheets-col,,,collection,[APRIL2015F2F]
Document Description,media-sheets-col,blank,,integer(0:MAX),[APRIL2015F2F]
Document Description,media-sheets-col,full-color,,integer(0:MAX),[APRIL2015F2F]
Document Description,media-sheets-col,highlight-color,,integer(0:MAX),[APRIL2015F2F]
Document Description,media-sheets-col,monochrome,,integer(0:MAX),[APRIL2015F2F]
Document Description,pages,,,integer(0:MAX),[PWG5100.13]
Document Description,pages-col,,,collection,[APRIL2015F2F]
Document Description,pages-col,full-color,,integer(0:MAX),[APRIL2015F2F]
Document Description,pages-col,monochrome,,integer(0:MAX),[APRIL2015F2F]
Document Status,attributes-charset,,,charset,[PWG5100.5]
Document Status,attributes-natural-language,,,naturalLanguage,[PWG5100.5]
Document Status,chamber-humidity-actual,,,1setOf integer(0:100),[PWG5100.21]
Document Status,chamber-temperature-actual,,,1setOf integer(-273:MAX),[PWG5100.21]
Document Status,compression(obsolete),,,type2 keyword,[PWG5100.5]
Document Status,copies-actual,,,1setOf integer(1:MAX),[PWG5100.5]
Document Status,cover-back-actual,,,1setOf collection,[PWG5100.5]
Document Status,cover-back-actual,"<Member attributes are the same as the ""cover-back"" Job Template attribute>",,,[PWG5100.5]
Document Status,cover-front-actual,,,1setOf collection,[PWG5100.5]
Document Status,cover-front-actual,"<Member attributes are the same as the ""cover-front"" Job Template attribute>",,,[PWG5100.5]
Document Status,date-time-at-completed,,,dateTime | no-value,[PWG5100.5]
Document Status,date-time-at-completed(extension),,,dateTime,[PWG5100.5]
Document Status,date-time-at-created,,,dateTime,[PWG5100.5]
Document Status,date-time-at-creation,,,dateTime,[PWG5100.5]
Document Status,date-time-at-processing,,,dateTime | no-value,[PWG5100.5]
Document Status,date-time-at-processing(extension),,,dateTime,[PWG5100.5]
Document Status,detailed-status-messages,,,1setOf text(MAX),[PWG5100.5]
Document Status,document-access-errors,,,1setOf text(MAX),[PWG5100.5]
Document Status,document-charset,,,charset,[PWG5100.5]
Document Status,document-digital-signature(obsolete),,,type2 keyword,[PWG5100.5]
Document Status,document-format,,,mimeMediaType,[PWG5100.5]
Document Status,document-format-detected,,,mimeMediaType,[PWG5100.5]
Document Status,document-format-ready,,,1setOf mimeMediaType,[PWG5100.18]
Document Status,document-format-supplied,,,mimeMediaType,[PWG5100.7]
Document Status,document-format-version(obsolete),,,text(127),[PWG5100.5]
Document Status,document-format-version-detected(obsolete),,,text(127),[PWG5100.5]
Document Status,document-job-id,,,integer(1:MAX),[PWG5100.5]
Document Status,document-job-uri,,,uri,[PWG5100.5]
Document Status,document-message,,,text(MAX),[PWG5100.5]
Document Status,document-message-supplied,,,text(MAX),[PWG5100.7]
Document Status,document-name-supplied,,,name(MAX),[PWG5100.7]
Document Status,document-natural-language,,,naturalLanguage,[PWG5100.5]
Document Status,document-number,,,integer(1:MAX),[PWG5100.5]
Document Status,document-printer-uri,,,uri,[PWG5100.5]
Document Status,document-state,,,type1 enum,[PWG5100.5]
Document Status,document-state-message,,,text(MAX),[PWG5100.5]
Document Status,document-state-reasons,,,1setOf type2 keyword,[PWG5100.5]
Document Status,document-uri,,,uri,[PWG5100.5]
Document Status,document-uuid,,,uri(45),[PWG5100.13]
Document Status,errors-count,,,integer(0:MAX),[PWG5100.5]
Document Status,finishings-actual,,,1setOf type2 enum,[PWG5100.5]
Document Status,finishings-col-actual,,,1setOf collection,[PWG5100.5]
Document Status,finishings-col-actual,"<Member attributes are the same as the ""finishings-col"" Job Template attribute>",,,[PWG5100.5]
Document Status,force-front-side-actual,,,1setOf integer(1:MAX),[PWG5100.5]
Document Status,imposition-template-actual,,,1setOf type2 keyword | name,[PWG5100.5]
Document Status,impressions,,,integer(0:MAX),[PWG5100.5]
Document Status,impressions-completed,,,integer(0:MAX),[PWG5100.5]
Document Status,impressions-completed-col,,,collection,[APRIL2015F2F]
Document Status,impressions-completed-col,"<Member attributes are the same as the ""impressions-col"" Document Template attribute>",,,[APRIL2015F2F]
Document Status,impressions-completed-current-copy(obsolete),,,integer(0:MAX),[PWG5100.5]
Document Status,input-attributes-actual,,,collection,[PWG5100.15]
Document Status,insert-sheet-actual,,,1setOf collection,[PWG5100.5]
