Attribute,Keyword Value,Syntax,Type,Reference
accuracy-units,,type2 keyword,,[PWG5100.21]
accuracy-units,mm,type2 keyword,,[PWG5100.21]
accuracy-units,nm,type2 keyword,,[PWG5100.21]
accuracy-units,um,type2 keyword,,[PWG5100.21]
accuracy-units-supported,,1setOf type2 keyword,,[PWG5100.21]
accuracy-units-supported,< any accuracy-units values >,1setOf type2 keyword,,[PWG5100.21]
accuracy-units-supported,"<Any ""accuracy-units"" value>",1setOf type2 keyword,,[PWG5100.21]
baling-type,,type2 keyword | name(MAX),,[PWG5100.1]
baling-type,band,type2 keyword | name(MAX),,[PWG5100.1]
baling-type,shrink-wrap,type2 keyword | name(MAX),,[PWG5100.1]
baling-type,wrap,type2 keyword | name(MAX),,[PWG5100.1]
baling-type-supported,,1setOf (type2 keyword | name(MAX)),,[PWG5100.1]
baling-type-supported,"<Any ""baling-type"" value>",1setOf (type2 keyword | name(MAX)),,[PWG5100.1]
baling-when,,type2 keyword,,[PWG5100.1]
baling-when,after-job,type2 keyword,,[PWG5100.1]
baling-when,after-sets,type2 keyword,,[PWG5100.1]
baling-when-supported,,1setOf type2 keyword,,[PWG5100.1]
baling-when-supported,"<Any ""baling-when"" value>",1setOf type2 keyword,,[PWG5100.1]
binding-reference-edge,,type1 keyword,,[PWG5100.1]
binding-reference-edge,bottom,type1 keyword,,[PWG5100.1]
binding-reference-edge,left,type1 keyword,,[PWG5100.1]
binding-reference-edge,right,type1 keyword,,[PWG5100.1]
binding-reference-edge,top,type1 keyword,,[PWG5100.1]
binding-reference-edge-supported,,1setOf type1 keyword,,[PWG5100.1]
binding-reference-edge-supported,"<Any ""binding-reference-edge"" value>",1setOf type1 keyword,,[PWG5100.1]
binding-type,,type2 keyword | name(MAX),,[PWG5100.1]
binding-type,adhesive,type2 keyword | name(MAX),,[PWG5100.1]
binding-type,comb,type2 keyword | name(MAX),,[PWG5100.1]
binding-type,flat,type2 keyword | name(MAX),,[PWG5100.1]
binding-type,padding,type2 keyword | name(MAX),,[PWG5100.1]
binding-type,perfect,type2 keyword | name(MAX),,[PWG5100.1]
binding-type,spiral,type2 keyword | name(MAX),,[PWG5100.1]
binding-type,tape,type2 keyword | name(MAX),,[PWG5100.1]
binding-type,velo,type2 keyword | name(MAX),,[PWG5100.1]
binding-type-supported,,(1setOf type2 keyword | name(MAX)),,[PWG5100.1]
binding-type-supported,"<Any ""binding-type"" value>",(1setOf type2 keyword | name(MAX)),,[PWG5100.1]
coating-sides,,type1 keyword,,[PWG5100.1]
coating-sides,back,type1 keyword,,[PWG5100.1]
coating-sides,both,type1 keyword,,[PWG5100.1]
coating-sides,front,type1 keyword,,[PWG5100.1]
coating-sides-supported,,1setOf type1 keyword,,[PWG5100.1]
coating-sides-supported,"<Any ""coating-sides"" value>",1setOf type1 keyword,,[PWG5100.1]
coating-type,,type2 keyword | name(MAX),,[PWG5100.1]
coating-type,archival,type2 keyword | name(MAX),,[PWG5100.1]
coating-type,archival-glossy,type2 keyword | name(MAX),,[PWG5100.1]
coating-type,archival-matte,type2 keyword | name(MAX),,[PWG5100.1]
coating-type,archival-semi-gloss,type2 keyword | name(MAX),,[PWG5100.1]
coating-type,glossy,type2 keyword | name(MAX),,[PWG5100.1]
coating-type,high-gloss,type2 keyword | name(MAX),,[PWG5100.1]
coating-type,matte,type2 keyword | name(MAX),,[PWG5100.1]
coating-type,semi-gloss,type2 keyword | name(MAX),,[PWG5100.1]
