Attribute,Value,Name,Syntax,Reference
document-state,,,type1 enum,[PWG5100.5]
document-state,3,pending,type1 enum,[PWG5100.5]
document-state,5,processing,type1 enum,[PWG5100.5]
document-state,6,processing-stopped,type1 enum,[PWG5100.18]
document-state,7,canceled,type1 enum,[PWG5100.5]
document-state,8,aborted,type1 enum,[PWG5100.5]
document-state,9,completed,type1 enum,[PWG5100.5]
end-power-state,,,type1 enum,[PWG5100.22]
end-power-state,"< any ""power-state"" value >",,type1 enum,[PWG5100.22]
fetch-status-code,,,type2 enum,[PWG5100.18]
fetch-status-code,"<All ""status-code"" value other than 'successful-ok'>",,type2 enum,[PWG5100.18]
finishings,,,1setOf type2 enum,[RFC8011]
finishings,3,none,1setOf type2 enum,[RFC8011]
finishings,4,staple,1setOf type2 enum,[RFC8011]
finishings,5,punch,1setOf type2 enum,[RFC8011]
finishings,6,cover,1setOf type2 enum,[RFC8011]
finishings,7,bind,1setOf type2 enum,[RFC8011]
finishings,8,saddle-stitch,1setOf type2 enum,[RFC8011]
finishings,9,edge-stitch,1setOf type2 enum,[RFC8011]
finishings,10,fold,1setOf type2 enum,[PWG5100.1]
finishings,11,trim,1setOf type2 enum,[PWG5100.1]
finishings,12,bale,1setOf type2 enum,[PWG5100.1]
finishings,13,booklet-maker,1setOf type2 enum,[PWG5100.1]
finishings,14,jog-offset,1setOf type2 enum,[PWG5100.1]
finishings,14,jog-offset(deprecated),1setOf type2 enum,[IPP-JOG-OFFSET]
finishings,15,coat,1setOf type2 enum,[PWG5100.1]
finishings,16,laminate,1setOf type2 enum,[PWG5100.1]
finishings,20,staple-top-left,1setOf type2 enum,[RFC8011]
finishings,21,staple-bottom-left,1setOf type2 enum,[RFC8011]
finishings,22,staple-top-right,1setOf type2 enum,[RFC8011]
finishings,23,staple-bottom-right,1setOf type2 enum,[RFC8011]
finishings,24,edge-stitch-left,1setOf type2 enum,[RFC8011]
finishings,25,edge-stitch-top,1setOf type2 enum,[RFC8011]
finishings,26,edge-stitch-right,1setOf type2 enum,[RFC8011]
finishings,27,edge-stitch-bottom,1setOf type2 enum,[RFC8011]
finishings,28,staple-dual-left,1setOf type2 enum,[RFC8011]
finishings,29,staple-dual-top,1setOf type2 enum,[RFC8011]
finishings,30,staple-dual-right,1setOf type2 enum,[RFC8011]
finishings,31,staple-dual-bottom,1setOf type2 enum,[RFC8011]
finishings,32,staple-triple-left,1setOf type2 enum,[PWG5100.1]
finishings,33,staple-triple-top,1setOf type2 enum,[PWG5100.1]
finishings,34,staple-triple-right,1setOf type2 enum,[PWG5100.1]
finishings,35,staple-triple-bottom,1setOf type2 enum,[PWG5100.1]
finishings,50,bind-left,1setOf type2 enum,[PWG5100.1]
finishings,51,bind-top,1setOf type2 enum,[PWG5100.1]
finishings,52,bind-right,1setOf type2 enum,[PWG5100.1]
finishings,53,bind-bottom,1setOf type2 enum,[PWG5100.1]
finishings,60,trim-after-pages,1setOf type2 enum,[PWG5100.13]
finishings,61,trim-after-documents,1setOf type2 enum,[PWG5100.13]
finishings,62,trim-after-copies,1setOf type2 enum,[PWG5100.13]
finishings,63,trim-after-job,1setOf type2 enum,[PWG5100.13]
finishings,70,punch-top-left,1setOf type2 enum,[PWG5100.1]
finishings,71,punch-bottom-left,1setOf type2 enum,[PWG5100.1]
finishings,72,punch-top-right,1setOf type2 enum,[PWG5100.1]
finishings,73,punch-bottom-right,1setOf type2 enum,[PWG5100.1]
finishings,74,punch-dual-left,1setOf type2 enum,[PWG5100.1]
finishings,75,punch-dual-top,1setOf type2 enum,[PWG5100.1]
finishings,76,punch-dual-right,1setOf type2 enum,[PWG5100.1]
finishings,77,punch-dual-bottom,1setOf type2 enum,[PWG5100.1]
