Adobe,adobe.com
Alibaba,alibaba-inc.com
Alif Type,aliftype.com
Amazon,amazon.com
AMD,amd.com
antmicro,antmicro.com
Apple,apple.com
ARM,arm.com
Arntzen Software,arntzen-software.no
BDTi,bdti.com
Brave,brave.com
Broadcom,broadcom.com
ByteDance,bytedance.com
Chinese Academy of Sciences,iscas.ac.cn
Front Range Internet,frii.com
GNU,gnu.org
Google,chromium.org
Google,google.com
Google,skia.org
Google,webrtc.org
Huawei,huawei.com
IBM,ca.ibm.com
IBM,ibm.com
IBM,in.ibm.com
IBM,us.ibm.com
Igalia,igalia.com
Imagination,imgtec.com
Individuals,adenilson.org
Individuals,behdad.org
Individuals,foolip.org
Individuals,gmail.com
Individuals,googlemail.com
Individuals,greggman.com
Individuals,hotmail.com
Individuals,kzar.co.uk
Individuals,niedermayer.cc
Individuals,noemail.net
Individuals,outlook.com
Individuals,sonic.net
Individuals,users.noreply.github.com
Individuals,warlow.dev
Intel,intel.com
Khronos,khronosgroup.org
LGE,lge.com
Loongson,loongson.cn
LunarG,lunarg.com
LunarG,LunarG.com
MediaTek,mediatek.com
Meta,fb.com
Meta,meta.com
Microsoft,microsoft.com
Mobica,mobica.com
Mozilla,mozilla.com
Naver,navercorp.com
Netflix,netflix.com
Nvidia,nvidia.com
Opera,opera.com
Qiaxin,www.qianxin.com
Qualcom,quincinc.com
Redhat,redhat.com
Samsung,samsung.com
Shopify,shopify.com
Slack,slack-corp.com
Szeged,inf.u-szeged.hu
Tencent,tencent.com
TensorFlow,tensorflow.org
Vewd,vewd.com
Vivaldi,vivaldi.com
WebKit,webkit.org
Xiaomi,xiaomi.com
Yandex,yandex-team.ru
Yandex,ya.ru

