# This file is part of ICU4X. For terms of use, please see the file
# called LICENSE at the top level of the ICU4X source tree
# (online at: https://github.com/unicode-org/icu4x/blob/main/LICENSE ).

スズキ,ケン
オムラ,ヒロヒデ
オオクボ,ノブユキ
ウラカワ,ユキ
コバヤシ,トシヒロ
マエダ,アツシ
クラタ,コスケ
オカダ,タカシ
オオカワ,ツグヒト
ヨシオカ,サユリ
ハラ,アキヒロ
ヨシタケ,タカシ
アズマ,コウイチ
ミズノ,カツヒコ
アンドウ,トモユキ
カワシマ,ジュンゾウ
タケワ,シンジ
ニシヤマ,ヒトシ
コバヤシ,セイコ
ナカジマ,タカシ
ワタナベ,ケイスケ
カシモト,キョウイチ
ヤブ,コウジ
ハセガワ,マサル
カンヌキ,セイイチ
スギウラ,ノリアキ
コヤギ,スミタカ
ヨネミツ,テツオ
セザイ,カズヤス
コンド,ヒロヒコ
ヤマネ,チアキ
マエヒラ,マサト
オオツカ,シンイチ
スズキ,ミサホ
フクダ,ヒロユキ
カンズイ,タミユキ
フクニシ,カズノブ
シギョウ,ヒデアキ
オカモト,ヨシオ
ウエダ,ヒカル
マツモト,シンヤ
オカダ,リエコ
カワサキ,コウイチ
モリヤマ,ケンジ
マツキ,エイキ
カケハタ,マサオ
フミハラ,カオリ
ヒビ,タツト
セキネ,ミツル
マキゾノ,サヤカ
