# This file is part of ICU4X. For terms of use, please see the file
# called LICENSE at the top level of the ICU4X source tree
# (online at: https://github.com/unicode-org/icu4x/blob/main/LICENSE ).

Степашин, Сергей Вадимович
Булгак, Владимир Борисович
Давыдкин, Виктор Алексеевич
Власов, Валентин Степанович
Столярова, Насима Калимовна
Тяжлов, Анатолий Степанович
Шабунин, Иван Петрович
Журбенко, Владимир Михайлович
Пашуто, Владимир Ростиславович
Хижа, Георгий Степанович
Лукьяненко, Татьяна Константиновна
Лебедев, Вячеслав Михайлович
Анпилов, Виктор Иванович
Тихонов, Александр Николаевич
Елисеев, Александр Игоревич
Кныш, Валентин Филиппович
Сахарков, Юрий Викторович
Рoйтман, Илья Борисович
Родионов, Сергей Сергеевич
Макаров, Андрей Михайлович
Пороховщиков, Александр Шалвович
Бессарабов, Владимир Григорьевич
Семенов, Виктор Александрович
Лиханов, Альберт Анатольевич
Рейман, Леонид Дододжонович
Суров, Петр Сергеевич
Белоногов, Анатолий Николаевич
Кинелев, Владимир Георгиевич
Пятницкий, Юрий Георгиевич
Брынцалов, Юрий Григорьевич
Губкин, Игорь Владимирович
Тосунян, Гарегин Ашотович
Рохлин, Лев Яковлевич
Рюриков, Дмитрий Борисович
Игнатенко, Виталий Никитич
Боровой, Константин Натанович
Лаптев, Иван Дмитриевич
Жуков, Александр Дмитриевич
Тихонов, Георгий Иванович
Благоволин, Сергей Евгеньевич
Бычков, Андрей Иванович
Киселев, Вячеслав Викторович
Шагидулин, Анвер Галлямович
Конташов, Анатолий Павлович
Минаков, Виктор Михайлович
Егоров, Николай Дмитриевич
Бойко, Максим Владимирович
Никитин, Владимир Петрович
Егоров, Александр Кирьянович
Чистоходова, Рита Васильевна
