# This file is part of ICU4X. For terms of use, please see the file
# called LICENSE at the top level of the ICU4X source tree
# (online at: https://github.com/unicode-org/icu4x/blob/main/LICENSE ).

いわかわ,てるひさ
こばやし,せいじ
はすみ,けんいちろ
さかい,ともゆき
さいとう,ひろし
あらい,ちが
もりた,のりこ
おくだ,てつや
たけした,ひろし
みやもと,としあき
しらがき,よしはる
わだ,えいじ
しみず,たつみ
やまなか,えいじ
まみや,ひでき
やました,ひろし
すみよし,ひでお
たかすか,ひろし
すがはら,じゅんじ
さとう,さとみ
こがみ,よしまさ
まきした,けいこ
たなか,よしひさ
さとう,ひさはる
やなぎだ,やすお
つむら,ともえ
きむら,のりこ
えなみ,のりあき
かみ,さちお
くればやし,きよみ
おおい,ようじ
ますだ,ひろし
ならはら,さとし
わたり,けいこ
もり,みつひろ
よこた,なおみ
みずこし,けんいち
わたなべ,なおこ
ばば,よういちろう
てらした,かずお
すずき,きくこ
くぼ,ごう
ふなもと,ひろたか
てらい,あきこ
せがわ,こうじ
ほんだ,さなえ
にった,ふみこ
こが,くにはる
やまぐち,のぶみち
おきた,さとこ
