bot,repeat,shard,estimated_runtime
android-pixel-fold-perf,1,1,60
android-pixel-tangor-perf,1,1,60
android-pixel25-ultra-perf,1,1,60
android-pixel25-ultra-xl-perf,1,1,60
android-pixel4-perf,1,1,60
android-pixel4-perf-pgo,1,1,60
android-pixel6-perf,1,1,60
android-pixel6-perf-pgo,1,1,60
android-pixel6-pro-perf,1,1,60
android-pixel6-pro-perf-pgo,1,1,60
android-pixel9-perf,1,1,60
android-pixel9-pro-perf,1,1,60
android-pixel9-pro-xl-perf,1,1,60
linux-falcon-rak-5070-perf,1,1,125
win-10-perf,1,1,125
win-10-perf-pgo,1,1,125
win-11-perf,1,1,125
win-11-perf-pgo,1,1,125
win-arm64-snapdragon-elite-perf,1,1,125
win-falcon-rak-5070-perf,1,1,125
