# This is a comma separated file, specifying the safe list for network traffic
# annotation auditor. Please refer to README.md for more details.
all,tools/*,*test*,*fuzzer*,*mock*,*fake*,weblayer/*
all,net/android/java/src/org/chromium/net/NetworkTrafficAnnotationTag.java
missing,remoting/host/token_validator_factory_impl.cc
missing,components/cronet/cronet_url_request.cc
missing,net/url_request/url_request_context.cc
mutable_tag,components/download/internal/background_service/proto_conversions.cc
mutable_tag,net/traffic_annotation/network_traffic_annotation.h
test_annotation,components/safe_search_api/stub_url_checker.cc
test_annotation,net/quic/quic_chromium_client_session_peer.cc
# TODO(crbug.com/995852): Fix Android-specific annotations.
missing,android_webview/browser/network_service/aw_proxy_config_monitor.cc
missing,chrome/android/features/tab_ui/java/src/org/chromium/chrome/browser/tasks/tab_management/suggestions/TabSuggestionsServerFetcher.java
missing,chrome/android/java/src/org/chromium/chrome/browser/download/OMADownloadHandler.java
missing,chrome/android/java/src/org/chromium/chrome/browser/feedback/ConnectivityChecker.java
missing,chrome/android/java/src/org/chromium/chrome/browser/net/connectivitydetector/ConnectivityDetector.java
missing,chrome/android/java/src/org/chromium/chrome/browser/offlinepages/measurements/OfflineMeasurementsBackgroundTask.java
missing,chrome/browser/android/compositor/scene_layer/contextual_search_scene_layer.cc
missing,chrome/browser/android/feedback/connectivity_checker.cc
missing,chrome/browser/commerce/subscriptions/android/java/src/org/chromium/chrome/browser/subscriptions/CommerceSubscriptionsServiceProxy.java
missing,chrome/browser/page_annotations/android/java/src/org/chromium/chrome/browser/page_annotations/PageAnnotationsServiceProxy.java
missing,chrome/browser/tab/java/src/org/chromium/chrome/browser/tab/state/StorePersistedTabData.java
missing,net/proxy_resolution/proxy_config_service_android.cc
